ISO28178
ORIGINATOR "ISO TC130"
FILE_DESCRIPTOR "ISO15339-CRPC1"
# ISO/PAS 15339-2 Characterized Reference Printing Condition 1, Typical ColdsetNews
CREATED "2012-12-01"
MEASUREMENT_GEOMETRY "ISO 13655 - Reflection, M1"
FILTER "D50"
SAMPLE_BACKING "White"
# Reference White Point (LAB) = 85.00 1.00 5.00
# Reference Black Point (LAB) = 31.75 0.09 0.80 
NUMBER_OF_FIELDS 8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 1617
BEGIN_DATA
1	0	0	0	0	85.00	1.00	5.00
2	0	10	0	0	79.97	8.74	3.38
3	0	20	0	0	75.59	15.53	2.01
4	0	30	0	0	71.53	21.84	0.82
5	0	40	0	0	68.10	27.25	0.00
6	0	55	0	0	63.55	34.60	-0.82
7	0	70	0	0	60.11	40.39	-0.85
8	0	85	0	0	57.57	44.91	-0.37
9	0	100	0	0	56.00	48.00	0.00
10	10	0	0	0	80.88	-3.20	-0.12
11	10	10	0	0	76.27	4.16	-1.32
12	10	20	0	0	72.23	10.64	-2.36
13	10	30	0	0	68.46	16.67	-3.24
14	10	40	0	0	65.27	21.79	-3.85
15	10	55	0	0	61.00	28.90	-4.34
16	10	70	0	0	57.79	34.36	-4.27
17	10	85	0	0	55.40	38.59	-3.75
18	10	100	0	0	53.81	41.54	-3.09
19	20	0	0	0	77.24	-6.87	-4.65
20	20	10	0	0	72.94	0.10	-5.55
21	20	20	0	0	69.16	6.30	-6.32
22	20	30	0	0	65.66	12.04	-6.93
23	20	40	0	0	62.72	16.94	-7.29
24	20	55	0	0	58.76	23.75	-7.54
25	20	70	0	0	55.73	28.95	-7.38
26	20	85	0	0	53.45	32.89	-6.88
27	20	100	0	0	51.90	35.68	-6.24
28	30	0	0	0	73.78	-10.35	-8.91
29	30	10	0	0	69.82	-3.67	-9.46
30	30	20	0	0	66.30	2.27	-9.96
31	30	30	0	0	63.05	7.76	-10.32
32	30	40	0	0	60.29	12.45	-10.50
33	30	55	0	0	56.60	18.92	-10.54
34	30	70	0	0	53.76	23.85	-10.28
35	30	85	0	0	51.60	27.66	-9.77
36	30	100	0	0	50.10	30.29	-9.21
37	40	0	0	0	70.69	-13.36	-12.59
38	40	10	0	0	66.99	-6.94	-12.89
39	40	20	0	0	63.73	-1.28	-13.14
40	40	30	0	0	60.70	3.98	-13.29
41	40	40	0	0	58.13	8.43	-13.32
42	40	55	0	0	54.65	14.54	-13.23
43	40	70	0	0	51.97	19.24	-12.88
44	40	85	0	0	49.93	22.86	-12.35
45	40	100	0	0	48.50	25.42	-11.83
46	55	0	0	0	66.58	-17.31	-17.45
47	55	10	0	0	63.20	-11.30	-17.33
48	55	20	0	0	60.25	-5.97	-17.27
49	55	30	0	0	57.52	-1.06	-17.14
50	55	40	0	0	55.26	3.00	-16.96
51	55	55	0	0	52.05	8.79	-16.60
52	55	70	0	0	49.59	13.18	-16.20
53	55	85	0	0	47.71	16.52	-15.71
54	55	100	0	0	46.37	18.89	-15.30
55	70	0	0	0	63.23	-20.30	-21.18
56	70	10	0	0	60.15	-14.64	-20.77
57	70	20	0	0	57.47	-9.61	-20.39
58	70	30	0	0	54.97	-4.95	-20.04
59	70	40	0	0	52.82	-0.93	-19.71
60	70	55	0	0	49.92	4.41	-19.17
61	70	70	0	0	47.66	8.50	-18.72
62	70	85	0	0	45.92	11.58	-18.29
63	70	100	0	0	44.72	13.70	-17.96
64	85	0	0	0	60.53	-22.60	-24.02
65	85	10	0	0	57.63	-17.15	-23.36
66	85	20	0	0	55.14	-12.38	-22.78
67	85	30	0	0	52.82	-7.93	-22.25
