ISO28178
ORIGINATOR "ISO TC130"
FILE_DESCRIPTOR "ISO15339-CRPC2"
# ISO/PAS  15339-2 Characterized Reference Printing Condition 2, Typical HeatsetNews
CREATED "2012-12-01"
MEASUREMENT_GEOMETRY "ISO 13655 - Reflection, M1"
FILTER "D50"
SAMPLE_BACKING "White"
# Reference White Point (LAB) = 87.00  0.00  3.00
# Reference Black Point (LAB) = 22.03  0.80  1.26
NUMBER_OF_FIELDS 8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 1617
BEGIN_DATA
1	0	0	0	0	87.00	0.00	3.00
2	0	10	0	0	82.23	6.97	1.35
3	0	20	0	0	77.97	13.32	-0.09
4	0	30	0	0	73.81	19.63	-1.32
5	0	40	0	0	69.87	25.77	-2.27
6	0	55	0	0	64.32	34.87	-3.23
7	0	70	0	0	59.19	43.98	-3.31
8	0	85	0	0	54.88	52.15	-2.73
9	0	100	0	0	52.00	58.00	-2.00
10	10	0	0	0	83.22	-3.68	-1.78
11	10	10	0	0	78.77	3.07	-3.18
12	10	20	0	0	74.73	9.23	-4.48
13	10	30	0	0	70.79	15.36	-5.58
14	10	40	0	0	67.11	21.27	-6.44
15	10	55	0	0	61.92	30.07	-7.20
16	10	70	0	0	57.03	38.98	-7.32
17	10	85	0	0	52.92	47.00	-6.91
18	10	100	0	0	50.14	52.74	-6.38
19	20	0	0	0	79.74	-7.04	-6.18
20	20	10	0	0	75.52	-0.54	-7.43
21	20	20	0	0	71.70	5.42	-8.56
22	20	30	0	0	68.00	11.35	-9.53
23	20	40	0	0	64.53	17.08	-10.26
24	20	55	0	0	59.63	25.63	-10.95
25	20	70	0	0	54.99	34.30	-11.11
26	20	85	0	0	51.05	42.17	-10.79
27	20	100	0	0	48.39	47.81	-10.37
28	30	0	0	0	76.37	-10.24	-10.42
29	30	10	0	0	72.39	-3.97	-11.49
30	30	20	0	0	68.80	1.77	-12.47
31	30	30	0	0	65.32	7.50	-13.31
32	30	40	0	0	62.04	13.05	-13.94
33	30	55	0	0	57.40	21.35	-14.54
34	30	70	0	0	52.98	29.76	-14.70
35	30	85	0	0	49.22	37.39	-14.44
36	30	100	0	0	46.65	42.85	-14.07
37	40	0	0	0	73.08	-13.33	-14.52
38	40	10	0	0	69.38	-7.24	-15.39
39	40	20	0	0	66.04	-1.68	-16.19
40	40	30	0	0	62.76	3.86	-16.88
41	40	40	0	0	59.66	9.22	-17.41
42	40	55	0	0	55.26	17.24	-17.91
43	40	70	0	0	51.05	25.38	-18.06
44	40	85	0	0	47.43	32.73	-17.84
45	40	100	0	0	44.95	37.96	-17.51
46	55	0	0	0	68.37	-17.75	-20.33
47	55	10	0	0	65.08	-11.88	-20.89
48	55	20	0	0	62.05	-6.52	-21.46
49	55	30	0	0	59.09	-1.23	-21.94
50	55	40	0	0	56.27	3.86	-22.31
51	55	55	0	0	52.19	11.39	-22.62
52	55	70	0	0	48.23	18.95	-22.66
53	55	85	0	0	44.78	25.71	-22.40
54	55	100	0	0	42.37	30.43	-22.07
55	70	0	0	0	63.84	-21.92	-25.82
56	70	10	0	0	60.92	-16.23	-26.13
57	70	20	0	0	58.22	-11.07	-26.47
58	70	30	0	0	55.56	-6.02	-26.74
59	70	40	0	0	52.99	-1.20	-26.93
60	70	55	0	0	49.22	5.76	-27.00
61	70	70	0	0	45.47	12.60	-26.85
62	70	85	0	0	42.11	18.57	-26.48
63	70	100	0	0	39.73	22.60	-26.07
64	85	0	0	0	59.71	-25.61	-30.74
65	85	10	0	0	57.14	-20.11	-30.78
66	85	20	0	0	54.76	-15.11	-30.91
67	85	30	0	0	52.37	-10.26	-30.99
