ISO28178
ORIGINATOR "ISO TC130"
FILE_DESCRIPTOR "ISO15339-CRPC3"
# ISO/PAS 15339-2 Characterized Reference Printing Condition 3, Typical Premium Uncoated
CREATED "2012-12-01"
MEASUREMENT_GEOMETRY "ISO 13655 - Reflection, M1"
FILTER "D50"
SAMPLE_BACKING "White"
# Reference White Point (LAB) = 95.00  1.00  -4.00
# Reference Black Point (LAB) = 27.08  -0.19  1.07
NUMBER_OF_FIELDS 8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 1617
BEGIN_DATA
1	0	0	0	0	95.00	1.00	-4.00
2	0	10	0	0	89.76	8.54	-4.59
3	0	20	0	0	85.06	15.35	-5.08
4	0	30	0	0	80.45	22.09	-5.43
5	0	40	0	0	76.13	28.52	-5.59
6	0	55	0	0	69.91	38.08	-5.41
7	0	70	0	0	64.17	47.28	-4.53
8	0	85	0	0	59.17	55.64	-3.13
9	0	100	0	0	56.00	61.00	-2.00
10	10	0	0	0	90.81	-2.77	-8.79
11	10	10	0	0	85.90	4.45	-9.16
12	10	20	0	0	81.42	10.98	-9.48
13	10	30	0	0	77.06	17.43	-9.69
14	10	40	0	0	73.02	23.53	-9.71
15	10	55	0	0	67.12	32.71	-9.31
16	10	70	0	0	61.68	41.46	-8.29
17	10	85	0	0	56.93	49.41	-6.84
18	10	100	0	0	53.90	54.61	-5.64
19	20	0	0	0	86.90	-6.25	-13.28
20	20	10	0	0	82.25	0.57	-13.50
21	20	20	0	0	78.00	6.84	-13.66
22	20	30	0	0	73.89	13.00	-13.69
23	20	40	0	0	70.11	18.80	-13.54
24	20	55	0	0	64.50	27.55	-12.96
25	20	70	0	0	59.32	35.90	-11.84
26	20	85	0	0	54.80	43.48	-10.30
27	20	100	0	0	51.89	48.50	-9.08
28	30	0	0	0	83.08	-9.52	-17.69
29	30	10	0	0	78.70	-3.05	-17.67
30	30	20	0	0	74.70	2.91	-17.65
31	30	30	0	0	70.82	8.77	-17.52
32	30	40	0	0	67.26	14.31	-17.22
33	30	55	0	0	61.95	22.65	-16.45
34	30	70	0	0	57.04	30.63	-15.21
35	30	85	0	0	52.73	37.89	-13.61
36	30	100	0	0	49.96	42.66	-12.35
37	40	0	0	0	79.38	-12.59	-21.93
38	40	10	0	0	75.27	-6.37	-21.67
39	40	20	0	0	71.58	-0.73	-21.43
40	40	30	0	0	67.94	4.81	-21.12
41	40	40	0	0	64.53	10.07	-20.70
42	40	55	0	0	59.51	18.05	-19.74
43	40	70	0	0	54.85	25.65	-18.38
44	40	85	0	0	50.75	32.60	-16.71
45	40	100	0	0	48.11	37.22	-15.40
46	55	0	0	0	73.91	-16.94	-28.20
47	55	10	0	0	70.18	-11.29	-27.59
48	55	20	0	0	66.78	-6.09	-27.07
49	55	30	0	0	63.47	-0.96	-26.50
50	55	40	0	0	60.41	3.85	-25.84
51	55	55	0	0	55.81	11.17	-24.60
52	55	70	0	0	51.54	18.22	-23.07
53	55	85	0	0	47.77	24.67	-21.34
54	55	100	0	0	45.25	29.02	-20.11
55	70	0	0	0	68.54	-20.75	-34.30
56	70	10	0	0	65.19	-15.56	-33.30
57	70	20	0	0	62.16	-10.82	-32.47
58	70	30	0	0	59.20	-6.15	-31.57
59	70	40	0	0	56.42	-1.71	-30.63
60	70	55	0	0	52.27	5.01	-29.04
61	70	70	0	0	48.38	11.46	-27.33
62	70	85	0	0	44.92	17.35	-25.56
63	70	100	0	0	42.65	21.35	-24.34
64	85	0	0	0	63.45	-24.01	-40.08
65	85	10	0	0	60.50	-19.28	-38.61
66	85	20	0	0	57.81	-14.98	-37.39
67	85	30	0	0	55.15	-10.74	-36.16
