ISO28178
ORIGINATOR "ISO TC130"
FILE_DESCRIPTOR "ISO15339-CRPC6"
# ISO/PAS 15339-2 Characterized Reference Printing Condition 6, Typical Premium Coated
CREATED "2012-12-01"
MEASUREMENT_GEOMETRY "ISO 13655 - Reflection, M1"
FILTER "D50"
SAMPLE_BACKING "White"
# Reference White Point (LAB) = 95.00  1.00  -4.00
# Reference Black Point (LAB) = 9.05  0.20  0.39
NUMBER_OF_FIELDS 8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 1617
BEGIN_DATA
1	0	0	0	0	95.00	1.00	-4.00
2	0	10	0	0	89.89	7.72	-5.04
3	0	20	0	0	85.05	14.22	-5.96
4	0	30	0	0	80.06	21.14	-6.71
5	0	40	0	0	75.09	28.30	-7.25
6	0	55	0	0	67.50	40.05	-7.48
7	0	70	0	0	59.97	52.78	-6.79
8	0	85	0	0	52.96	65.55	-5.37
9	0	100	0	0	48.00	75.00	-4.00
10	10	0	0	0	90.99	-2.33	-8.84
11	10	10	0	0	86.16	4.15	-9.70
12	10	20	0	0	81.51	10.45	-10.46
13	10	30	0	0	76.73	17.16	-11.11
14	10	40	0	0	71.93	24.14	-11.59
15	10	55	0	0	64.65	35.50	-11.71
16	10	70	0	0	57.40	47.81	-11.05
17	10	85	0	0	50.62	60.22	-9.77
18	10	100	0	0	45.82	69.39	-8.63
19	20	0	0	0	87.09	-5.66	-13.59
20	20	10	0	0	82.45	0.61	-14.26
21	20	20	0	0	78.03	6.71	-14.88
22	20	30	0	0	73.45	13.21	-15.39
23	20	40	0	0	68.85	20.07	-15.71
24	20	55	0	0	61.85	31.01	-15.82
25	20	70	0	0	54.86	42.94	-15.19
26	20	85	0	0	48.28	55.00	-14.07
27	20	100	0	0	43.60	63.95	-13.07
28	30	0	0	0	83.14	-9.14	-18.38
29	30	10	0	0	78.72	-3.09	-18.84
30	30	20	0	0	74.50	2.83	-19.33
31	30	30	0	0	70.14	9.13	-19.70
32	30	40	0	0	65.74	15.77	-19.92
33	30	55	0	0	59.01	26.41	-19.95
34	30	70	0	0	52.28	37.97	-19.36
35	30	85	0	0	45.90	49.72	-18.34
36	30	100	0	0	41.34	58.43	-17.50
37	40	0	0	0	79.15	-12.76	-23.17
38	40	10	0	0	74.93	-6.85	-23.48
39	40	20	0	0	70.91	-1.14	-23.78
40	40	30	0	0	66.76	4.97	-24.00
41	40	40	0	0	62.61	11.35	-24.11
42	40	55	0	0	56.14	21.68	-24.04
43	40	70	0	0	49.66	32.93	-23.47
44	40	85	0	0	43.48	44.33	-22.60
45	40	100	0	0	39.03	52.81	-21.85
46	55	0	0	0	73.06	-18.68	-30.35
47	55	10	0	0	69.18	-12.98	-30.38
48	55	20	0	0	65.47	-7.49	-30.47
49	55	30	0	0	61.64	-1.63	-30.49
50	55	40	0	0	57.76	4.51	-30.42
51	55	55	0	0	51.76	14.32	-30.28
52	55	70	0	0	45.64	25.09	-29.68
53	55	85	0	0	39.78	36.01	-28.98
54	55	100	0	0	35.51	44.18	-28.46
55	70	0	0	0	66.79	-25.16	-37.63
56	70	10	0	0	63.23	-19.67	-37.40
57	70	20	0	0	59.85	-14.41	-37.22
58	70	30	0	0	56.34	-8.79	-37.01
59	70	40	0	0	52.76	-2.91	-36.75
60	70	55	0	0	47.19	6.50	-36.43
61	70	70	0	0	41.46	16.82	-35.88
62	70	85	0	0	35.91	27.32	-35.36
63	70	100	0	0	31.84	35.11	-35.02
64	85	0	0	0	60.64	-31.84	-44.65
65	85	10	0	0	57.43	-26.57	-44.11
66	85	20	0	0	54.38	-21.50	-43.65
67	85	30	0	0	51.16	-16.07	-43.21
