ISO28178
ORIGINATOR "ISO TC130"
FILE_DESCRIPTOR "ISO15339-CRPC7"
# ISO/PAS 15339-2 Characterized Reference Printing Condition 7, Typical Extra Large
CREATED "2012-12-01"
MEASUREMENT_GEOMETRY "ISO 13655 - Reflection, M1"
FILTER "D50"
SAMPLE_BACKING "White"
# Reference White Point (LAB) =   97.00  1.00  -4.00
# Reference Black Point (LAB) =  4.41  -0.16  2.77
NUMBER_OF_FIELDS 8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 1617
BEGIN_DATA
1	0	0	0	0	97.00	1.00	-4.00
2	0	10	0	0	91.67	8.45	-5.93
3	0	20	0	0	86.62	15.61	-7.67
4	0	30	0	0	81.37	23.13	-9.22
5	0	40	0	0	76.18	30.79	-10.45
6	0	55	0	0	68.15	43.13	-11.66
7	0	70	0	0	60.16	55.96	-11.75
8	0	85	0	0	52.48	68.86	-10.97
9	0	100	0	0	47.00	78.00	-10.00
10	10	0	0	0	93.02	-2.82	-9.20
11	10	10	0	0	87.92	4.59	-10.76
12	10	20	0	0	83.02	11.68	-12.21
13	10	30	0	0	77.96	19.11	-13.51
14	10	40	0	0	72.92	26.64	-14.60
15	10	55	0	0	65.12	38.82	-15.59
16	10	70	0	0	57.32	51.50	-15.73
17	10	85	0	0	49.76	64.27	-15.17
18	10	100	0	0	44.46	73.42	-14.52
19	20	0	0	0	89.11	-6.61	-14.27
20	20	10	0	0	84.19	0.73	-15.54
21	20	20	0	0	79.47	7.70	-16.67
22	20	30	0	0	74.59	15.06	-17.74
23	20	40	0	0	69.69	22.59	-18.57
24	20	55	0	0	62.11	34.51	-19.49
25	20	70	0	0	54.50	47.02	-19.66
26	20	85	0	0	47.07	59.65	-19.33
27	20	100	0	0	41.87	68.70	-18.89
28	30	0	0	0	85.13	-10.50	-19.29
29	30	10	0	0	80.39	-3.29	-20.28
30	30	20	0	0	75.84	3.60	-21.16
31	30	30	0	0	71.14	10.87	-21.98
32	30	40	0	0	66.41	18.28	-22.66
33	30	55	0	0	59.04	30.08	-23.44
34	30	70	0	0	51.62	42.45	-23.64
35	30	85	0	0	44.35	54.95	-23.46
36	30	100	0	0	39.23	63.92	-23.23
37	40	0	0	0	81.03	-14.57	-24.33
38	40	10	0	0	76.50	-7.48	-25.02
39	40	20	0	0	72.14	-0.69	-25.66
40	40	30	0	0	67.60	6.49	-26.27
41	40	40	0	0	63.05	13.85	-26.79
42	40	55	0	0	55.92	25.47	-27.45
43	40	70	0	0	48.68	37.71	-27.65
44	40	85	0	0	41.58	50.09	-27.61
45	40	100	0	0	36.53	58.95	-27.56
46	55	0	0	0	74.60	-21.06	-31.88
47	55	10	0	0	70.34	-14.03	-32.18
48	55	20	0	0	66.27	-7.35	-32.54
49	55	30	0	0	62.02	-0.31	-32.87
50	55	40	0	0	57.72	6.88	-33.16
51	55	55	0	0	50.99	18.29	-33.61
52	55	70	0	0	44.10	30.31	-33.77
53	55	85	0	0	37.29	42.39	-33.86
54	55	100	0	0	32.41	51.12	-34.00
55	70	0	0	0	67.67	-28.18	-39.62
56	70	10	0	0	63.71	-21.32	-39.63
57	70	20	0	0	59.93	-14.78	-39.71
58	70	30	0	0	55.97	-7.90	-39.80
59	70	40	0	0	51.96	-0.84	-39.88
60	70	55	0	0	45.66	10.34	-40.10
61	70	70	0	0	39.17	22.16	-40.20
62	70	85	0	0	32.71	34.04	-40.37
63	70	100	0	0	28.07	42.62	-40.59
64	85	0	0	0	60.38	-35.78	-47.46
65	85	10	0	0	56.74	-29.12	-47.22
66	85	20	0	0	53.26	-22.73	-47.07
67	85	30	0	0	49.60	-16.01	-46.95
