LGOROWLENGTH	12				
P2P	51	Dithered			
NUMBER_OF_FIELDS	6				
BEGIN_DATA_FORMAT					
SampleID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K
END_DATA_FORMAT					
NUMBER_OF_SETS	300				
BEGIN_DATA					
1	A12	100	100	100	0
13	B12	5	0	0	0
25	C12	10	0	0	0
37	D12	20	0	0	0
49	E12	30	0	0	0
61	F12	40	0	0	0
73	G12	50	0	0	0
85	H12	60	0	0	0
97	I12	70	0	0	0
109	J12	80	0	0	0
121	K12	90	0	0	0
133	L12	95	0	0	0
145	M12	100	0	0	0
157	N12	0	5	5	0
169	O12	0	10	10	0
181	P12	0	20	20	0
193	Q12	0	30	30	0
205	R12	0	40	40	0
217	S12	0	50	50	0
229	T12	0	60	60	0
241	U12	0	70	70	0
253	V12	0	80	80	0
265	W12	0	90	90	0
277	X12	0	95	95	0
289	Y12	0	100	100	0
2	A11	0	0	0	0
14	B11	0	5	0	0
26	C11	0	10	0	0
38	D11	0	20	0	0
50	E11	0	30	0	0
62	F11	0	40	0	0
74	G11	0	50	0	0
86	H11	0	60	0	0
98	I11	0	70	0	0
110	J11	0	80	0	0
122	K11	0	90	0	0
134	L11	0	95	0	0
146	M11	0	100	0	0
158	N11	5	0	5	0
170	O11	10	0	10	0
182	P11	20	0	20	0
194	Q11	30	0	30	0
206	R11	40	0	40	0
218	S11	50	0	50	0
230	T11	60	0	60	0
242	U11	70	0	70	0
254	V11	80	0	80	0
266	W11	90	0	90	0
278	X11	95	0	95	0
290	Y11	100	0	100	0
3	A10	100	100	100	100
15	B10	0	0	5	0
27	C10	0	0	10	0
39	D10	0	0	20	0
51	E10	0	0	30	0
63	F10	0	0	40	0
75	G10	0	0	50	0
87	H10	0	0	60	0
99	I10	0	0	70	0
111	J10	0	0	80	0
123	K10	0	0	90	0
135	L10	0	0	95	0
147	M10	0	0	100	0
159	N10	5	5	0	0
171	O10	10	10	0	0
183	P10	20	20	0	0
195	Q10	30	30	0	0
207	R10	40	40	0	0
219	S10	50	50	0	0
231	T10	60	60	0	0
243	U10	70	70	0	0
255	V10	80	80	0	0
267	W10	90	90	0	0
279	X10	95	95	0	0
291	Y10	100	100	0	0
4	A9	0	0	0	0
16	B9	0	0	0	2
28	C9	0	0	0	4
40	D9	0	0	0	6
52	E9	0	0	0	8
64	F9	0	0	0	10
76	G9	0	0	0	15
88	H9	0	0	0	20
100	I9	0	0	0	25
112	J9	0	0	0	30
124	K9	0	0	0	35
136	L9	0	0	0	40
148	M9	0	0	0	45
160	N9	0	0	0	50
172	O9	0	0	0	55
184	P9	0	0	0	60
196	Q9	0	0	0	65
208	R9	0	0	0	70
220	S9	0	0	0	75
232	T9	0	0	0	80
244	U9	0	0	0	85
256	V9	0	0	0	90
268	W9	0	0	0	95
280	X9	0	0	0	98
292	Y9	0	0	0	100
5	A8	0	0	0	0
17	B8	2	1.493	1.493	0
29	C8	4	2.983	2.983	0
41	D8	6	4.474	4.474	0
53	E8	8	5.965	5.965	0
65	F8	10	7.458	7.458	0
77	G8	15	11.212	11.212	0
89	H8	20	15.011	15.011	0
101	I8	25	18.878	18.878	0
113	J8	30	22.835	22.835	0
125	K8	35	26.903	26.903	0
137	L8	40	31.106	31.106	0
149	M8	45	35.464	35.464	0
161	N8	50	40	40	0
173	O8	55	44.736	44.736	0
185	P8	60	49.694	49.694	0
197	Q8	65	54.897	54.897	0
209	R8	70	60.365	60.365	0
221	S8	75	66.122	66.122	0
233	T8	80	72.189	72.189	0
245	U8	85	78.588	78.588	0
257	V8	90	85.342	85.342	0
269	W8	95	92.472	92.472	0
281	X8	98	96.939	96.939	0
293	Y8	100	100	100	0
6	A7	50	22	22	0
18	B7	50	31	22	0
30	C7	50	40	22	0
42	D7	50	49	22	0
54	E7	50	58	22	0
66	F7	50	22	31	0
78	G7	50	31	31	0
90	H7	50	40	31	0
102	I7	50	49	31	0
114	J7	50	58	31	0
